City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
595,Port Moresby,PG,87.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
596,Nanchang,CN,84.49,overcast clouds,28.6833,115.8833,Ruidu Hotel
601,Qiongshan,CN,78.78,shower rain,20.0058,110.3542,Sun City Restaurant
606,Poum,NC,77.45,overcast clouds,-20.2333,164.0167,
610,Shahpur,IN,78.21,overcast clouds,16.7,76.8333,Ashwini Hotel & Deluxe Lodge
611,Roswell,US,79.72,clear sky,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
613,Tygda,RU,83.3,overcast clouds,53.1167,126.3333,
616,Roma,US,78.87,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
617,Lachhmangarh,IN,82.49,overcast clouds,27.8214,75.0251,Laxmi Hotel
618,Suffolk,US,76.91,scattered clouds,40.8668,-72.7996,Greenwood Village
619,Abidjan,CI,76.96,broken clouds,5.3094,-4.0197,ibis Abidjan Plateau
620,Garmsar,IR,89.64,clear sky,35.2182,52.3409,مجتمع مرصاد
621,Fomboni,KM,77.63,clear sky,-12.28,43.7425,Auberge les abou
622,Saint-Georges,GD,78.48,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
626,Kalaleh,IR,75.56,clear sky,37.3807,55.4916,کلاله
629,Gigmoto,PH,85.69,overcast clouds,13.7796,124.39,Cj's Travellers Inn
630,Xuanhua,CN,78.96,broken clouds,40.6103,115.0447,Jinjiang Inn Zhangjiakou Xuanhua People's Park
631,Bowling Green,US,89.53,clear sky,36.9903,-86.4436,Hilton Garden Inn Bowling Green
633,Camden,US,84.15,overcast clouds,39.7835,-74.9663,Lindenwold Lodge
636,Porbandar,IN,82.78,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
637,Berja,ES,75.76,clear sky,36.8469,-2.9497,Hotel Don Miguel Plaza de Berja
638,Jacmel,HT,84.04,overcast clouds,18.2342,-72.5347,Historic Hotel Florita
640,Palmer,US,81.21,overcast clouds,42.1584,-72.3287,Wedgewood Motel
641,Bandar-E Lengeh,IR,87.39,broken clouds,26.5579,54.8807,کافی نت پارس
642,Kousseri,CM,80.56,broken clouds,12.0769,15.0306,Le Pilotis
644,Funadhoo,MV,82.54,broken clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
648,Bontang,ID,84.74,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
649,Umarkot,PK,86.52,overcast clouds,25.3616,69.7362,Al-Qamar Boys Hostel
651,Adrar,MR,88.12,clear sky,20.5022,-10.0711,
653,Clifton,US,87.24,clear sky,40.8584,-74.1638,Quality Urban Housing
656,Kerema,PG,84.49,clear sky,-7.9631,145.7785,Frena Lodge
663,Maine-Soroa,NE,86.43,overcast clouds,13.2114,12.0241,Complexe
665,Bellevue,US,79.95,clear sky,47.6104,-122.2007,The Westin Bellevue
671,Cienfuegos,CU,80.74,scattered clouds,22.1461,-80.4356,Casa Claumar B2BPay
672,Trincomalee,LK,82.72,scattered clouds,8.5711,81.2335,Welcombe Hotel
674,San,ML,83.77,overcast clouds,13.3034,-4.8956,Hôtel Teriya
675,Balabac,PH,85.39,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
676,Hendersonville,US,89.98,broken clouds,36.3048,-86.62,Hyatt Place Nashville/Hendersonville
679,Enshi,CN,83.88,scattered clouds,30.3,109.4833,Moevenpick Enshi
680,Kualakapuas,ID,85.78,scattered clouds,-3.0091,114.3876,Guest House Izonk
681,Nurota,UZ,79.39,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
684,Chenghai,CN,78.71,shower rain,23.4632,116.768,Guangdong Hotel
685,Sirjan,IR,78.67,clear sky,29.452,55.6814,MAPNA Building
686,Giddarbaha,IN,88.32,scattered clouds,30.2,74.6667,panchayti dharamshala gidderbaha
687,Inuvik,CA,81.61,clear sky,68.3499,-133.7218,Nova Inn Inuvik
689,Bambanglipuro,ID,79.83,overcast clouds,-7.95,110.2833,Puri Brata
691,Dicabisagan,PH,84.74,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
692,Tukrah,LY,76.71,clear sky,32.5341,20.5791,Lagrota restaurant
693,Anloga,GH,77.7,overcast clouds,5.7947,0.8973,Pin Drop Hotel
