City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
322,Kasongo-Lunda,-6.4667,16.8167,68.74,39,1,1.86,clear sky
323,Omboue,-1.5746,9.2618,71.38,92,64,5.08,broken clouds
324,Sept-Iles,50.2001,-66.3821,59.52,88,100,8.05,moderate rain
325,At-Bashi,41.1702,75.8106,54.46,39,8,1.01,clear sky
326,Darab,28.7519,54.5444,86.61,40,1,2.1,clear sky
327,Champerico,14.3,-91.9167,82.94,74,50,9.26,scattered clouds
328,General Pico,-35.6566,-63.7568,54.84,46,91,5.32,overcast clouds
329,Ilulissat,69.2167,-51.1,48.22,71,20,11.5,few clouds
330,Disna,55.568,28.1971,65.1,66,100,1.79,overcast clouds
331,Camana,-16.6228,-72.7111,60.78,82,76,6.98,broken clouds
332,Udaipura,23.0833,78.5,78.01,88,100,10.51,overcast clouds
333,Katsuura,35.1333,140.3,79.59,79,48,12.12,scattered clouds
334,Tiksi,71.6872,128.8694,41.61,72,99,4.56,overcast clouds
335,Portland,45.5234,-122.6762,83.61,54,20,9.22,few clouds
336,Naryan-Mar,67.6713,53.087,45.9,90,100,10.29,overcast clouds
337,Gayeri,12.6497,0.4931,85.68,52,84,9.46,broken clouds
338,Bambanglipuro,-7.95,110.2833,75.58,88,21,7.34,few clouds
339,Keffi,8.8486,7.8736,71.64,93,92,1.1,light rain
340,Asau,46.4333,26.4,69.96,94,56,3.6,broken clouds
341,Saint-Joseph,-21.3667,55.6167,70.18,69,72,14.47,broken clouds
342,Haines Junction,60.7522,-137.5108,78.75,34,41,5.75,scattered clouds
343,Henties Bay,-22.116,14.2845,62.29,66,0,3.89,clear sky
344,Srivardhan,18.0333,73.0167,80.38,84,97,13.89,moderate rain
345,Avera,33.194,-82.5271,78.55,70,96,3.69,overcast clouds
346,Kuching,1.55,110.3333,79.02,94,20,0.0,few clouds
347,Esso,55.9333,158.7,54.18,88,100,2.84,overcast clouds
348,Saint-Pierre,-21.3393,55.4781,71.28,58,100,16.11,overcast clouds
349,Asosa,10.0667,34.5333,59.76,81,100,4.29,overcast clouds
350,Cabedelo,-6.9811,-34.8339,77.67,86,21,10.2,few clouds
351,Iqaluit,63.7506,-68.5145,40.73,80,20,17.27,few clouds
352,Vryheid,-27.7695,30.7917,43.75,39,0,3.15,clear sky
353,Brawley,32.9787,-115.5303,112.48,10,0,4.61,clear sky
354,Plettenberg Bay,-34.0527,23.3716,71.17,41,1,18.7,clear sky
355,Sombrio,-29.1139,-49.6167,56.17,93,0,6.76,clear sky
356,Roxana,10.2753,-83.7513,79.03,97,100,4.7,overcast clouds
357,Jining,35.405,116.5814,81.5,76,73,8.16,broken clouds
358,Mayo,38.8876,-76.5119,90.01,74,0,16.11,clear sky
359,Soyo,-6.1349,12.3689,72.41,90,0,8.86,clear sky
360,Nakhon Thai,17.1006,100.8374,74.17,94,99,1.63,light rain
361,Alice Springs,-23.7,133.8833,42.35,87,0,6.91,clear sky
362,Aguadilla,18.4275,-67.1541,84.58,76,40,20.71,scattered clouds
363,Kiruna,67.8557,20.2251,63.52,94,48,2.3,scattered clouds
364,Ust-Kuyga,70.0167,135.6,59.88,53,68,9.06,broken clouds
